school.instructional_expenditure_per_fte,X2013.student.demographics.race_ethnicity.black,school.tuition_revenue_per_fte,id,X2013.student.share_firstgeneration,school.minority_serving.annh,X2013.cost.tuition.program_year,X2013.cost.attendance.program_year,X2013.aid.pell_grant_rate,school.minority_serving.historically_black,school.minority_serving.nant,X2013.student.demographics.race_ethnicity.two_or_more,X2013.student.demographics.race_ethnicity.white,X2013.student.size,X2013.student.demographics.race_ethnicity.hispanic,X2013.student.demographics.race_ethnicity.non_resident_alien,X2013.student.demographics.race_ethnicity.unknown,school.minority_serving.predominantly_black,school.under_investigation,school.minority_serving.hispanic,school.minority_serving.aanipi,X2013.student.demographics.race_ethnicity.aian,school.minority_serving.tribal,X2013.student.demographics.race_ethnicity.asian,school.name,X2013.student.demographics.race_ethnicity.nhpi,X2013.admissions.admission_rate.overall,X2013.admissions.sat_scores.average.overall,X2013.student.enrollment.all,X2013.student.demographics.race_ethnicity.white_non_hispanic,X2013.student.demographics.race_ethnicity.black_non_hispanic,X2013.student.demographics.race_ethnicity.asian_pacific_islander,X2013.cost.attendance.academic_year,X2013.cost.tuition.in_state,X2013.cost.tuition.out_of_state,year
3812,0.5165,8870,440369,0.560365456,0,18556,29359,0.7579,0,0,0.0375,0.3018,666,0.0691,0,0.0571,0,0,0,0,0.0045,0,0.009,Everest Institute-Dearborn,0.0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
12332,0.085,9,172422,0.471698113,0,NA,NA,0.3636,0,0,0.035,0.875,200,0,0,0,0,0,0,0,0.005,0,0,Michigan Career and Technical Institute,0,NA,NA,NA,NA,NA,NA,20625,17496,25896,2013
3083,0.2694,12413,438416,0.536872484,0,NA,NA,0.79,0,0,0.0185,0.3063,271,0.048,0.0037,0.3432,0,0,0,0,0.0037,0,0,University of Phoenix-West Michigan Campus,0.0074,NA,NA,NA,NA,NA,NA,24448,NA,NA,2013
10570,0,14539,434414,0.44324016,0,NA,NA,0.9764,0,0,0,0.9988,1642,0,0.0012,0,0,1,0,0,0,0,0,Michigan Jewish Institute,0,0.981,NA,NA,NA,NA,NA,15022,10700,10700,2013
3287,0.0384,3480,171155,0.503206337,0,NA,NA,0.516,0,0,0.0071,0.8099,3098,0.0294,0.0165,0.0717,0,0,0,0,0.0226,0,0.0029,Mid Michigan Community College,0.0016,NA,NA,NA,NA,NA,NA,10136,2732,8852,2013
6175,0.0442,2555,171225,0.500808625,0,NA,NA,0.3736,0,0,4.00E-04,0.7611,2285,0.0276,0.0013,0.1514,0,0,0,0,0.0053,0,0.0079,Monroe County Community College,9.00E-04,NA,NA,NA,NA,NA,NA,7479,3190,5710,2013
6164,0.0037,1929,171234,0.488511489,0,NA,NA,0.6778,0,0,0.0183,0.8716,1643,0.0134,0.0018,0.0803,0,0,0,0,0.0067,0,0.0043,Montcalm Community College,0,NA,NA,NA,NA,NA,NA,10782,3150,8040,2013
3580,0.4957,547,171261,0.80952381,0,14325,13169,0.8089,0,0,0,0.5043,117,0,0,0,0,0,0,0,0,0,0,Mr Bela's School of Cosmetology Inc,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
4022,0.0998,8264,171298,0.514855811,0,NA,NA,0.6742,0,0,0.0466,0.8044,3988,0.0366,0,0,0,0,0,0,0.0033,0,0.0068,Baker College of Muskegon,0.0025,NA,NA,NA,NA,NA,NA,18466,8100,8100,2013
5720,0.1069,2957,171304,0.448482428,0,NA,NA,0.4326,0,0,0.0319,0.7325,3798,0.0382,0.0032,0.0645,0,0,0,0,0.0153,0,0.0066,Muskegon Community College,0.0011,NA,NA,NA,NA,NA,NA,9042,3265,7180,2013
5552,0.1312,3029,170550,0.511204937,0,NA,NA,0.2413,0,0,0.0371,0.7459,4986,0.0415,0.0038,0.0166,0,0,0,0,0.0058,0,0.0178,Kellogg Community College,2.00E-04,NA,NA,NA,NA,NA,NA,9222,3054,6762,2013
6430,0.0065,3042,170587,0.515100671,0,NA,NA,0.5827,0,0,0.0129,0.905,1547,0.0136,0.0032,0.0394,0,0,0,0,0.0136,0,0.0045,Kirtland Community College,0.0013,NA,NA,NA,NA,NA,NA,11482,3355,7105,2013
10845,0.0784,22452,169442,0.230252101,0,NA,NA,0.3702,0,0,0.0266,0.5962,1352,0.0429,0.0629,0.1376,0,0,0,0,0.0037,0,0.0488,College for Creative Studies,0.003,0.486,1010,NA,NA,NA,NA,46095,35710,35710,2013
4703,0.1537,15507,169479,0.444694132,0,NA,NA,0.5275,0,0,0.0221,0.6098,7119,0.0181,0.0176,0.1527,0,0,0,0,0.0045,0,0.0204,Davenport University,0.0013,0.917,NA,NA,NA,NA,NA,25439,14096,14096,2013
5377,0.1174,2290,170657,0.436549554,0,NA,NA,0.4395,0,0,0.0283,0.6834,13947,0.0217,0.0065,0.1027,0,0,0,0,0.0071,0,0.0303,Lansing Community College,0.0026,NA,NA,NA,NA,NA,NA,11373,2720,7700,2013
5950,0.1013,3158,169521,0.46773135,0,NA,NA,0.4608,0,0,0.0201,0.7876,8664,0.0643,0.0029,0.0121,0,0,0,0,0.005,0,0.0063,Delta College,3.00E-04,NA,NA,NA,NA,NA,NA,8696,3095,8690,2013
